x,ring,p_ring,year,nest,nest_index,birdid,sex,num_start,num_end,start_time,end_time,dur_seconds,dur_mins,dur_hr,breed_stage,e_hatch_d,l_status,startdate_new,no_days
77,6234591,6207519,2022,C3,C3_7,C3_bird1,Female,1657220850,1657289850,07/07/2022 21:07,08/07/2022 16:17,69000,1150,19.16666667,incu,11/07/2022,L,07/07/2022,36
78,6234591,6207519,2022,C3,C3_3,C3_bird1,Female,1656769350,1656967950,02/07/2022 15:42,04/07/2022 22:52,198600,3310,55.16666667,incu,11/07/2022,L,02/07/2022,31
79,6234591,6207519,2022,C3,C3_5,C3_bird1,Female,1657045650,1657123650,05/07/2022 20:27,06/07/2022 18:07,78000,1300,21.66666667,incu,11/07/2022,L,05/07/2022,34
80,6234569,6207524,2021,I5,I5_2,I5_bird2,Male,1624732800,1624747950,26/06/2021 20:40,27/06/2021 00:52,15150,252.5,4.208333333,incu,06/07/2021,L,26/06/2021,25
81,6207541,6207525,2021,B2,B2_7,B2_bird2,Male,1625454600,1625489700,05/07/2021 05:10,05/07/2021 14:55,35100,585,9.75,incu,10/07/2021,L,05/07/2021,34
82,6207541,6207525,2021,B2,B2_11,B2_bird2,Male,1625683950,1625704800,07/07/2021 20:52,08/07/2021 02:40,20850,347.5,5.791666667,incu,10/07/2021,L,07/07/2021,36
83,6207541,6207525,2021,B2,B2_5,B2_bird2,Male,1624961100,1624989750,29/06/2021 12:05,29/06/2021 20:02,28650,477.5,7.958333333,incu,10/07/2021,L,29/06/2021,28
84,6207541,6207525,2021,B2,B2_2,B2_bird2,Male,1624757550,1624779300,27/06/2021 03:32,27/06/2021 09:35,21750,362.5,6.041666667,incu,10/07/2021,L,27/06/2021,26
85,6207541,6207525,2021,B2,B2_8,B2_bird2,Male,1625584800,1625624850,06/07/2021 17:20,07/07/2021 04:27,40050,667.5,11.125,incu,10/07/2021,L,06/07/2021,35
86,6207541,6207525,2021,B2,B2_10,B2_bird2,Male,1625638800,1625657250,07/07/2021 08:20,07/07/2021 13:27,18450,307.5,5.125,incu,10/07/2021,L,07/07/2021,36
87,6207518,6207540,2021,C6,C6_21,C6_bird2,Male,1625254650,1625273550,02/07/2021 21:37,03/07/2021 02:52,18900,315,5.25,incu,04/07/2021,L,02/07/2021,31
88,6207518,6207540,2021,C6,C6_19,C6_bird2,Male,1625070150,1625222550,01/07/2021 00:30,30/06/2021 20:20,152400,2540,42.33333333,incu,04/07/2021,L,01/07/2021,30
89,6207518,6207540,2021,C6,C6_7,C6_bird2,Male,1624438800,1624603800,23/06/2021 11:00,25/06/2021 08:50,165000,2750,45.83333333,incu,04/07/2021,L,23/06/2021,22
90,6207518,6207540,2021,C6,C6_9,C6_bird2,Male,1624781850,1624830750,27/06/2021 10:17,27/06/2021 23:52,48900,815,13.58333333,incu,04/07/2021,L,27/06/2021,26
91,6207518,6207540,2021,C6,C6_17,C6_bird2,Male,1625007450,1625025600,30/06/2021 00:57,30/06/2021 06:00,18150,302.5,5.041666667,incu,04/07/2021,L,30/06/2021,29
92,6207518,6207540,2021,C6,C6_23,C6_bird2,Male,1625324850,1625348850,03/07/2021 17:07,03/07/2021 23:47,24000,400,6.666666667,incu,04/07/2021,L,03/07/2021,32
93,6207525,6207541,2021,B2,B2_15,B2_bird1,Female,1625840700,1625851200,09/07/2021 16:25,09/07/2021 19:20,10500,175,2.916666667,incu,10/07/2021,L,09/07/2021,38
94,6207525,6207541,2021,B2,B2_12,B2_bird1,Female,1625704800,1625729700,08/07/2021 02:40,08/07/2021 09:35,24900,415,6.916666667,incu,10/07/2021,L,08/07/2021,37
95,6207525,6207541,2021,B2,B2_9,B2_bird1,Female,1625624850,1625638800,07/07/2021 04:27,07/07/2021 08:20,13950,232.5,3.875,incu,10/07/2021,L,07/07/2021,36
96,6207525,6207541,2021,B2,B2_6,B2_bird1,Female,1624992600,1625027700,29/06/2021 20:50,30/06/2021 06:35,35100,585,9.75,incu,10/07/2021,L,29/06/2021,28
97,6207525,6207541,2021,B2,B2_1,B2_bird1,Female,1624745400,1624757550,27/06/2021 00:10,27/06/2021 03:32,12150,202.5,3.375,incu,10/07/2021,L,27/06/2021,26
98,6207525,6207541,2021,B2,B2_14,B2_bird1,Female,1625733300,1625740500,08/07/2021 10:35,08/07/2021 12:35,7200,120,2,incu,10/07/2021,L,08/07/2021,37
99,6234762,6234453,2022,H2,H2_3,H2_bird1,Female,1656351600,1656512100,27/06/2022 19:40,29/06/2022 16:15,160500,2675,44.58333333,incu,12/07/2022,L,27/06/2022,26
100,6234762,6234453,2022,H2,H2_17,H2_bird1,Female,1657323000,1657391700,09/07/2022 01:30,09/07/2022 20:35,68700,1145,19.08333333,incu,12/07/2022,L,09/07/2022,38
101,6234762,6234453,2022,H2,H2_1,H2_bird1,Female,1656066300,1656182700,24/06/2022 12:25,25/06/2022 20:45,116400,1940,32.33333333,incu,12/07/2022,L,24/06/2022,23
102,6234762,6234453,2022,H2,H2_11,H2_bird1,Female,1657016400,1657050900,05/07/2022 12:20,05/07/2022 21:55,34500,575,9.583333333,incu,12/07/2022,L,05/07/2022,34
103,6234762,6234453,2022,H2,H2_13,H2_bird1,Female,1657126500,1657158900,06/07/2022 18:55,07/07/2022 03:55,32400,540,9,incu,12/07/2022,L,06/07/2022,35
104,6234762,6234453,2022,H2,H2_15,H2_bird1,Female,1657179900,1657313700,07/07/2022 09:45,08/07/2022 22:55,133800,2230,37.16666667,incu,12/07/2022,L,07/07/2022,36
105,6234762,6234453,2022,H2,H2_5,H2_bird1,Female,1656520800,1656568800,29/06/2022 18:40,30/06/2022 08:00,48000,800,13.33333333,incu,12/07/2022,L,29/06/2022,28
106,6234762,6234453,2022,H2,H2_7,H2_bird1,Female,1656679500,1656828300,01/07/2022 14:45,03/07/2022 08:05,148800,2480,41.33333333,incu,12/07/2022,L,01/07/2022,30
107,6234762,6234453,2022,H2,H2_9,H2_bird1,Female,1656836700,1656895200,03/07/2022 10:25,04/07/2022 02:40,58500,975,16.25,incu,12/07/2022,L,03/07/2022,32
108,6234762,6234453,2022,H2,H2_19,H2_bird1,Female,1657514100,1657535400,11/07/2022 06:35,11/07/2022 12:30,21300,355,5.916666667,incu,12/07/2022,L,11/07/2022,40
109,6234769,6234456,2022,F3,F3_1,F3_bird1,Female,1656569250,1656637050,30/06/2022 08:07,01/07/2022 02:57,67800,1130,18.83333333,incu,14/07/2022,L,30/06/2022,29
110,3,6234466,2022,K3,K3_4,K3_GaporTrip,Male,1656165600,1656233700,25/06/2022 16:00,26/06/2022 10:55,68100,1135,18.91666667,incu,17/07/2022,P,25/06/2022,24
111,3,6234466,2022,K3,K3_20,K3_GaporTrip,Male,1657395300,1657575300,09/07/2022 21:35,11/07/2022 23:35,180000,3000,50,incu,17/07/2022,P,09/07/2022,38
112,3,6234466,2022,K3,K3_6,K3_GaporTrip,Male,1656276300,1656338700,26/06/2022 22:45,27/06/2022 16:05,62400,1040,17.33333333,incu,17/07/2022,P,26/06/2022,25
113,3,6234466,2022,K3,K3_12,K3_GaporTrip,Male,1656808800,1656894900,03/07/2022 02:40,04/07/2022 09:20,86100,1840,30.66666667,incu,17/07/2022,P,03/07/2022,32
114,3,6234466,2022,K3,K3_18,K3_GaporTrip,Male,1657192200,1657210500,07/07/2022 13:10,07/07/2022 18:15,18300,305,5.083333333,incu,17/07/2022,P,07/07/2022,36
115,3,6234466,2022,K3,K3_2,K3_GaporTrip,Male,1656133800,1656147300,25/06/2022 07:10,25/06/2022 10:55,13500,225,3.75,incu,17/07/2022,P,25/06/2022,24
116,3,6234466,2022,K3,K3_16,K3_GaporTrip,Male,1656955800,1657043100,04/07/2022 19:30,05/07/2022 19:45,87300,1455,24.25,incu,17/07/2022,P,04/07/2022,33
117,6234793,6234473,2022,l4,l4_11,l4_bird1,Female,1657014900,1657099200,05/07/2022 11:55,06/07/2022 11:20,84300,1405,23.41666667,incu,14/07/2022,L,05/07/2022,34
118,6234793,6234473,2022,l4,l4_3,l4_bird1,Female,1656466200,1656630600,29/06/2022 03:30,01/07/2022 01:10,164400,2740,45.66666667,incu,14/07/2022,L,29/06/2022,28
119,6234793,6234473,2022,l4,l4_7,l4_bird1,Female,1656681600,1656694800,01/07/2022 15:20,01/07/2022 19:00,13200,220,3.666666667,incu,14/07/2022,L,01/07/2022,30
120,6234793,6234473,2022,l4,l4_9,l4_bird1,Female,1656848100,1657006200,03/07/2022 13:35,05/07/2022 09:30,158100,2635,43.91666667,incu,14/07/2022,L,03/07/2022,32
121,6234793,6234473,2022,l4,l4_5,l4_bird1,Female,1656639600,1656667500,01/07/2022 03:40,01/07/2022 11:25,27900,465,7.75,incu,14/07/2022,L,01/07/2022,30
122,6234793,6234473,2022,l4,l4_15,l4_bird1,Female,1657452900,1657534200,10/07/2022 13:35,11/07/2022 12:10,81300,1355,22.58333333,incu,14/07/2022,L,10/07/2022,39
123,6234793,6234473,2022,l4,l4_13,l4_bird1,Female,1657223100,1657379700,07/07/2022 21:45,09/07/2022 17:15,156600,2610,43.5,incu,14/07/2022,L,07/07/2022,36
124,6234793,6234473,2022,l4,l4_17,l4_bird1,Female,1657545900,1657584300,11/07/2022 15:25,12/07/2022 02:05,38400,640,10.66666667,incu,14/07/2022,L,11/07/2022,40
125,6234793,6234473,2022,l4,l4_1,l4_bird1,Female,1656075000,1656264600,24/06/2022 14:50,26/06/2022 19:30,189600,3160,52.66666667,incu,14/07/2022,L,24/06/2022,23
126,6234775,6234505,2021,D5,D5_2,D5_bird2,Female,1624389900,1624410900,22/06/2021 21:25,23/06/2021 03:15,21000,350,5.833333333,incu,06/07/2021,L,22/06/2021,21
127,6234775,6234505,2021,D5,D5_3,D5_bird2,Female,1624446600,1624473000,23/06/2021 13:10,23/06/2021 20:30,26400,440,7.333333333,incu,06/07/2021,L,23/06/2021,22
128,1,6234508,2022,C2,C2_16,C2_GaporTrip,Male,1657153200,1657162200,07/07/2022 02:20,07/07/2022 04:50,9000,150,2.5,incu,14/07/2022,P,07/07/2022,36
129,1,6234508,2022,C2,C2_4,C2_GaporTrip,Male,1656564300,1656573300,30/06/2022 06:45,30/06/2022 09:15,9000,150,2.5,incu,14/07/2022,P,30/06/2022,29
130,1,6234508,2022,C2,C2_10,C2_GaporTrip,Male,1656805200,1657018800,03/07/2022 01:40,05/07/2022 13:00,213600,3560,59.33333333,incu,14/07/2022,P,03/07/2022,32
131,1,6234508,2022,C2,C2_2,C2_GaporTrip,Male,1656116100,1656322500,25/06/2022 02:15,27/06/2022 11:35,206400,3440,57.33333333,incu,14/07/2022,P,25/06/2022,24
132,6234777,6234509,2021,D2,D2_6,D2_bird1,Male,1624831950,1624880700,28/06/2021 00:12,28/06/2021 13:45,48750,812.5,13.54166667,incu,03/07/2021,L,28/06/2021,27
133,6234777,6234509,2021,D2,D2_10,D2_bird1,Male,1625158200,1625184750,01/07/2021 18:50,02/07/2021 02:12,26550,442.5,7.375,incu,03/07/2021,L,01/07/2021,30
134,6234777,6234509,2021,D2,D2_2,D2_bird1,Male,1624716750,1624744350,26/06/2021 16:12,26/06/2021 23:52,27600,460,7.666666667,incu,03/07/2021,L,26/06/2021,25
135,6234777,6234509,2021,D2,D2_11,D2_bird1,Male,1625230950,1625264400,02/07/2021 15:02,03/07/2021 00:20,33450,557.5,9.291666667,incu,03/07/2021,L,02/07/2021,31
136,6234777,6234509,2021,D2,D2_8,D2_bird1,Male,1625043150,1625103600,01/07/2021 02:20,30/06/2021 18:10,60450,1007.5,16.79166667,incu,03/07/2021,L,01/07/2021,30
137,6234766,6234510,2022,G3,G3_14,G3_GaporTrip,Male,1656595500,1656816600,30/06/2022 15:25,03/07/2022 04:50,221100,3685,61.41666667,incu,15/07/2022,P,30/06/2022,29
138,6234766,6234510,2022,G3,G3_34,G3_GaporTrip,Male,1657736400,1657802400,13/07/2022 20:20,14/07/2022 14:40,66000,1100,18.33333333,incu,15/07/2022,P,13/07/2022,42
139,6234766,6234510,2022,G3,G3_32,G3_GaporTrip,Male,1657638900,1657652400,12/07/2022 17:15,12/07/2022 21:00,13500,225,3.75,incu,15/07/2022,P,12/07/2022,41
140,6234766,6234510,2022,G3,G3_10,G3_GaporTrip,Male,1656415800,1656423600,28/06/2022 13:30,28/06/2022 15:40,7800,130,2.166666667,incu,15/07/2022,P,28/06/2022,27
141,6234766,6234510,2022,G3,G3_22,G3_GaporTrip,Male,1657089900,1657185600,06/07/2022 08:45,07/07/2022 11:20,95700,1595,26.58333333,incu,15/07/2022,P,06/07/2022,35
